iter	Passed	Remaining
0	2	3408
1	4	3302
2	5	2971
3	8	3077
4	11	3356
5	13	3261
6	16	3471
7	18	3372
8	20	3436
9	22	3338
10	24	3249
11	25	3185
12	27	3125
13	29	3097
14	31	3096
15	33	3145
16	35	3102
17	37	3062
18	38	2975
19	39	2950
20	41	2931
21	43	2919
22	45	2953
23	46	2865
24	47	2830
25	50	2846
26	51	2836
27	53	2829
28	55	2818
29	57	2809
30	59	2808
31	60	2794
32	63	2813
33	66	2875
34	68	2873
35	70	2872
36	72	2876
37	75	2887
38	76	2868
39	78	2850
40	80	2848
41	81	2839
42	83	2823
43	85	2814
44	87	2814
45	88	2794
46	90	2793
47	92	2789
48	93	2780
49	98	2848
50	100	2860
51	102	2867
52	104	2859
53	106	2853
54	108	2852
55	110	2844
56	112	2841
57	114	2854
58	115	2824
59	116	2807
60	118	2804
61	120	2797
62	122	2788
63	124	2785
64	125	2772
65	127	2767
66	139	2981
67	141	2985
68	143	2970
69	145	2968
70	147	2975
71	148	2943
72	150	2946
73	152	2939
74	154	2936
75	156	2928
76	158	2926
77	160	2928
78	162	2918
79	164	2913
80	167	2927
81	169	2924
82	172	2938
83	174	2942
84	176	2939
85	178	2932
86	179	2920
87	181	2909
88	182	2887
89	184	2887
90	185	2878
91	187	2871
92	189	2860
93	190	2854
94	192	2853
95	194	2847
96	196	2844
97	198	2834
98	199	2825
99	201	2822
100	203	2814
101	204	2803
102	206	2796
103	208	2792
104	209	2780
105	211	2779
106	213	2776
107	216	2792
108	218	2790
109	220	2781
110	222	2779
111	224	2778
112	226	2786
113	228	2784
114	230	2777
115	232	2769
116	233	2765
117	236	2767
118	238	2763
119	239	2757
120	241	2750
121	243	2745
122	244	2739
123	246	2739
124	249	2740
125	250	2736
126	252	2728
127	253	2722
128	255	2718
129	257	2713
130	258	2699
131	260	2696
132	261	2692
133	263	2687
134	265	2687
135	267	2684
136	270	2687
137	272	2686
138	274	2686
139	276	2681
140	277	2677
141	279	2674
142	281	2669
143	283	2665
144	284	2661
145	286	2659
146	288	2656
147	290	2656
148	292	2652
149	293	2645
150	296	2648
151	298	2644
152	300	2648
153	302	2643
154	304	2644
155	306	2640
156	308	2640
157	310	2636
158	311	2628
159	313	2625
160	314	2619
161	316	2615
162	318	2613
163	321	2615
164	323	2616
165	325	2615
166	327	2611
167	328	2608
168	330	2604
169	332	2602
170	334	2597
171	336	2595
172	338	2595
173	340	2596
174	342	2594
175	344	2590
176	346	2589
177	348	2587
178	350	2589
179	352	2588
180	354	2586
181	357	2589
182	359	2586
183	361	2582
184	362	2578
185	364	2574
186	366	2572
187	368	2571
188	370	2568
189	371	2564
190	374	2564
191	375	2559
192	377	2555
193	379	2555
194	381	2551
195	383	2548
196	384	2544
